"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.16972415777017,1.21047252200885,1.15012930210731,1.14117314129233,1.2182766731344
"2","Max_Max_height_m",1.19861287341817,1.13179396974493,1.13288109256089,1.1174507828123,1.12816817395107
"3","Max_Ave_height_m",1.21476436096631,1.23691204453115,1.2003833013669,1.18000166267838,1.16678831464009
"4","Max_area_plant_m2",1.16505653984124,1.23815604860149,1.29049303931379,1.10807641820003,1.17113071292061
"5","Max_volume_plant_m3",1.22661695480845,1.31835528135248,1.19053221136164,1.1599785502863,1.20322798848663
