"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.13697062208322,1.19802766799473,1.20618314090451,1.11175632727136,1.22020802414354
"2","Max_Max_height_m",1.23639544168724,1.19923726951942,1.19246537822625,1.09101108953331,1.1324418129948
"3","Max_Ave_height_m",1.24086005252247,1.258949629792,1.22272096589867,1.15600173750489,1.11413623323105
"4","Max_area_plant_m2",1.17297588928729,1.32532347564682,1.29477212703227,1.05351917148446,1.10073471306343
"5","Max_volume_plant_m3",1.20455530063708,1.30270187682899,1.25814648175971,1.10346478388161,1.15175739555435
