"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.23177996517064,1.24841861694228,1.28026295633541,1.12353827566747,1.2166797714861
"2","Max_Max_height_m",1.20490056189717,1.18333265030074,1.17274140430166,1.10743383183131,1.13365865440144
"3","Max_Ave_height_m",1.19332209319538,1.30379404986753,1.24634616423391,1.18600667127156,1.19555802792132
"4","Max_area_plant_m2",1.2099715029225,1.27308733884407,1.21553810837143,1.10128890800714,1.14324260087041
"5","Max_volume_plant_m3",1.2243626420108,1.31688015355976,1.17234834088685,1.17401080242602,1.21091126894101
