"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.23177996514187,1.24841861693153,1.28026295633575,1.12353827567443,1.21667977148458
"2","Max_Max_height_m",1.20490056189081,1.1833326502854,1.17274140422553,1.10743383184773,1.13365865439063
"3","Max_Ave_height_m",1.19332209319183,1.30379404988647,1.24634616423614,1.18600667125966,1.19555802789911
"4","Max_area_plant_m2",1.20997150292967,1.27308733883657,1.21553810837258,1.1012889080041,1.14324260087477
"5","Max_volume_plant_m3",1.22436264202392,1.31688015352352,1.17234834088733,1.17401080243752,1.21091126893982
