"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.13697062206829,1.19802766803948,1.20618314089608,1.11175632726625,1.22020802438133
"2","Max_Max_height_m",1.2363954416893,1.19923726951842,1.19246537822652,1.09101108953868,1.1324418130032
"3","Max_Ave_height_m",1.24086005252612,1.2589496297916,1.22272096589495,1.15600173750436,1.11413623324612
"4","Max_area_plant_m2",1.17297588926349,1.32532347562604,1.29477212703712,1.05351917147922,1.10073471304886
"5","Max_volume_plant_m3",1.20455530063854,1.30270187682727,1.25814648175984,1.10346478388659,1.1517573955579
