"ID","yield_kg","Max_Max_height_m","Max_Ave_height_m","Max_area_plant_m2","Max_volume_plant_m3"
"00C133-020",5.66749999998819,0.525000000001391,0.271549999986028,0.442200833373322,0.110239577124462
"01C_071-002",6.5033333333227,0.567500000001333,0.292174999986084,0.56327062487347,0.160624899374399
"02M_012-001",4.02416666665603,0.555000000001333,0.267724999986084,0.376424166623471,0.118855271749399
"03M_016-002",5.41083333332269,0.620000000001333,0.329912499986084,0.47786249987347,0.144593635874399
"03M_034-002",6.80249999998936,0.592500000001333,0.313787499986084,0.56239249987347,0.168197598749399
"04C_055-004",2.83499999998936,0.408750000001333,0.184899999986084,0.334131666623471,0.059420178124399
"04C_126-005",6.03416666665603,0.706250000001333,0.375849999986084,0.539400833373471,0.186863661374399
"04M_034-013",4.54833333332269,0.540000000001333,0.314437499986084,0.407187083498471,0.119977803124399
"05M_002-001",5.11249999998936,0.521250000001333,0.266149999986084,0.435766666748471,0.117983719124399
"05M_004-003",6.13749999998936,0.623750000001333,0.328987499986084,0.51508604162347,0.165942768499399
"05M_012-004",5.31499999998936,0.606250000001333,0.316937499986084,0.49236375012347,0.147327716874399
"06C_127-002",4.18249999998936,0.636250000001333,0.371137499986084,0.493487499873471,0.176970680499399
"12288_AF_23",3.76583333332269,0.565000000001333,0.254099999986084,0.37411874999847,0.093725305999399
"12601AB1",2.80916666665603,0.572500000001333,0.292437499986084,0.363549583248471,0.104110859874399
"12636_A_2",3.89333333332269,0.536250000001333,0.243749999986084,0.464829166623471,0.100010687874399
"15119_AC_5",4.31999999998936,0.416250000001333,0.196437499986084,0.354748333373471,0.064713510374399
"1512C16",4.10166666665603,0.488750000001333,0.239937499986084,0.403905624873471,0.079256952249399
"15144_A_3",5.14416666665603,0.580000000001333,0.309624999986084,0.531494166498471,0.159600229124399
"1563C14",4.29499999998936,0.556250000001333,0.266499999986084,0.44511249999847,0.106677178374399
"2182EF7",4.15333333332269,0.550000000001333,0.258312499986084,0.518111666748471,0.126461612124399
"3681AD1",5.04333333332269,0.551250000001333,0.287999999986084,0.495992916748471,0.128720653124399
"5008AB6",4.98083333332269,0.538750000001333,0.272824999986084,0.47024374987347,0.123574771999399
"8204_A_4",4.55916666665603,0.627500000001333,0.322637499986084,0.523701666498471,0.162117089124399
"AGRIA",5.60499999998936,0.671250000001333,0.361349999986084,0.49600416662347,0.161551738999399
"AILSA",5.32249999998936,0.491250000001333,0.245812499986084,0.48010874999847,0.101700013374399
"ALMERA",6.82083333332269,0.531250000001333,0.268712499986084,0.45280125012347,0.102631837249399
"ALPHA",3.98083333332269,0.590000000001333,0.306449999986084,0.57672624999847,0.153261151624399
"ALWARA",4.70583333332269,0.525000000001333,0.268737499986084,0.464660416498471,0.102014228624399
"AMADRA",4.70916666665603,0.543750000001333,0.296549999986084,0.395668333248471,0.096778806249399
"AMOUR",5.71916666665603,0.498750000001333,0.282012499986084,0.43464999974847,0.111545617874399
"ANNA",5.94999999998936,0.556250000001333,0.294062499986084,0.538496874873471,0.146971398499399
"ANNABELLE",4.37833333332269,0.512500000001333,0.246737499986084,0.318894999998471,0.063079866249399
"ANYA",2.69166666665603,0.498750000001333,0.223737499986084,0.360548124998471,0.078938632749399
"ARGOS",6.69999999998936,0.677500000001333,0.374874999986084,0.52021125012347,0.184859094374399
"ARIELLE",4.58583333332269,0.532500000001333,0.245474999986084,0.376552916748471,0.078290559249399
"ARKULA",4.62249999998936,0.531250000001333,0.278037499986084,0.45371041662347,0.114059516624399
"ARMADA",5.65499999998936,0.550000000001333,0.299174999986084,0.49823187487347,0.119187883124399
"AVALANCHE",5.11916666665603,0.572500000001333,0.270037499986084,0.403115416623471,0.100282048499399
"BAILLIE",4.49666666665603,0.463750000001333,0.264412499986084,0.42895958337347,0.098622746999399
"BALMORAL",4.36499999998936,0.530000000001333,0.217774999986084,0.359047083373471,0.075333160249399
"BAMBINO",5.17916666665603,0.512500000001333,0.282049999986084,0.453853333373471,0.113682599124399
"BARNA",4.74666666665603,0.617500000001333,0.352999999986084,0.552247499873471,0.185700411874399
"BELLE_DE_FONTENAY",2.16749999998936,0.466250000001333,0.193899999986084,0.366453750123471,0.065472650624399
"BENOL",3.75333333332269,0.570000000001333,0.318687499986084,0.421139583248471,0.128079695499399
"BF_15",4.01916666665603,0.612500000001333,0.277599999986084,0.35041208324847,0.078951857499399
"BINTJE",4.50416666665603,0.526250000001333,0.272137499986084,0.449524166748471,0.119606458624399
"BIONICA_EX_SASA",4.10666666665603,0.470000000001333,0.231937499986084,0.34742166662347,0.075764276249399
"BLUE_DANUBE",4.54583333332269,0.665000000001333,0.364374999986084,0.51498166674847,0.174459039249399
"BONNIE",4.40583333332269,0.591250000001333,0.304824999986084,0.477402916873471,0.135932681499399
"BOUNTY",6.67166666665603,0.660000000001333,0.359549999986084,0.548910833248471,0.186697386374399
"BRITISH_QUEEN",4.14083333332269,0.497500000001333,0.254074999986084,0.413141666748471,0.101184298124399
"BRODICK",5.50333333332269,0.667500000001333,0.346974999986084,0.48295187487347,0.157496004124399
"BRODIE",4.90666666665603,0.613750000001333,0.273799999986084,0.41390416662347,0.098961437374399
"BUCHAN",4.51249999998936,0.605000000001333,0.287237499986084,0.415152083373471,0.109179044749399
"BURREN",6.13749999998936,0.540000000001333,0.309249999986084,0.494451041623471,0.141333176999399
