# This document produced by structureHarvester core version vB.1 July 2022
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vB.1 July 2022
# File generated at 2025-Jan-27 13:03:09 GMT
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	30	-1007893.896667	4.092591
str_K7_rep2_f		7	-978336.9	-975060.3	6553.4
str_K7_rep12_f		7	-978336.9	-975060.3	6553.4
str_K6_rep11_f		6	-980845.3	-978161.8	5367.0
str_K6_rep19_f		6	-980846.2	-978157.9	5376.6
str_K6_rep8_f		6	-980859.0	-978157.3	5403.5
str_K6_rep22_f		6	-980859.0	-978157.3	5403.5
str_K6_rep17_f		6	-983573.9	-978190.2	10767.4
str_K6_rep25_f		6	-981000.8	-978155.3	5691.0
str_K6_rep7_f		6	-981035.3	-978151.2	5768.3
str_K6_rep20_f		6	-980859.0	-978157.3	5403.5
str_K6_rep24_f		6	-980859.0	-978157.3	5403.5
str_K6_rep3_f		6	-980868.6	-978159.1	5419.0
str_K6_rep30_f		6	-980859.0	-978157.3	5403.5
str_K6_rep4_f		6	-981027.1	-978158.4	5737.4
str_K6_rep18_f		6	-980859.0	-978157.3	5403.5
str_K6_rep10_f		6	-980859.0	-978157.3	5403.5
str_K6_rep29_f		6	-980924.7	-978158.2	5533.0
str_K6_rep21_f		6	-980958.3	-978156.7	5603.2
str_K6_rep23_f		6	-980908.4	-978162.6	5491.6
str_K6_rep27_f		6	-980880.2	-978156.9	5446.6
str_K6_rep9_f		6	-980989.1	-978158.0	5662.1
str_K6_rep26_f		6	-980859.0	-978157.3	5403.5
str_K6_rep15_f		6	-981012.7	-978157.8	5709.8
str_K6_rep12_f		6	-980859.0	-978157.3	5403.5
str_K6_rep16_f		6	-980859.0	-978157.3	5403.5
str_K6_rep28_f		6	-980859.0	-978157.3	5403.5
str_K6_rep13_f		6	-980882.6	-978158.8	5447.5
str_K6_rep2_f		6	-980950.0	-978163.7	5572.7
str_K6_rep14_f		6	-980859.0	-978157.3	5403.5
str_K6_rep5_f		6	-980952.3	-978152.4	5599.9
str_K6_rep1_f		6	-980931.8	-978156.9	5549.8
str_K6_rep6_f		6	-980870.5	-978157.0	5426.9
str_K8_rep22_f		8	-976160.5	-972575.1	7170.8
str_K8_rep14_f		8	-976160.5	-972575.1	7170.8
str_K8_rep5_f		8	-976245.0	-972581.6	7326.9
str_K8_rep8_f		8	-976160.5	-972575.1	7170.8
str_K8_rep24_f		8	-976160.5	-972575.1	7170.8
str_K8_rep15_f		8	-976381.3	-972656.4	7449.9
str_K8_rep17_f		8	-976285.6	-972578.2	7414.8
str_K8_rep4_f		8	-976160.5	-972575.1	7170.8
str_K8_rep2_f		8	-976160.5	-972575.1	7170.8
str_K8_rep7_f		8	-976364.5	-972689.5	7350.0
str_K8_rep27_f		8	-976095.4	-972576.7	7037.4
str_K8_rep29_f		8	-976258.5	-972663.8	7189.4
str_K8_rep11_f		8	-976368.5	-972653.7	7429.6
str_K8_rep18_f		8	-976160.5	-972575.1	7170.8
str_K8_rep12_f		8	-976160.5	-972575.1	7170.8
str_K8_rep23_f		8	-976334.1	-972659.4	7349.3
str_K8_rep30_f		8	-976160.5	-972575.1	7170.8
str_K8_rep10_f		8	-976160.5	-972575.1	7170.8
str_K8_rep9_f		8	-976465.3	-972643.9	7642.9
str_K8_rep25_f		8	-976353.5	-972660.7	7385.5
str_K8_rep16_f		8	-976160.5	-972575.1	7170.8
str_K8_rep13_f		8	-976179.2	-972654.4	7049.7
str_K8_rep6_f		8	-976160.5	-972575.1	7170.8
str_K8_rep21_f		8	-976326.0	-972652.7	7346.6
str_K8_rep3_f		8	-976326.2	-972661.2	7330.0
str_K8_rep19_f		8	-976503.2	-972658.2	7690.1
str_K8_rep20_f		8	-976160.5	-972575.1	7170.8
str_K8_rep1_f		8	-976235.1	-972573.9	7322.4
str_K8_rep28_f		8	-976160.5	-972575.1	7170.8
str_K8_rep26_f		8	-976160.5	-972575.1	7170.8
str_K5_rep30_f		5	-983817.2	-981494.6	4645.2
str_K5_rep2_f		5	-983951.8	-981493.2	4917.2
str_K5_rep13_f		5	-983801.2	-981492.3	4617.8
str_K5_rep5_f		5	-983836.1	-981489.5	4693.2
str_K5_rep23_f		5	-983863.6	-981488.3	4750.5
str_K5_rep20_f		5	-983892.7	-981500.1	4785.2
str_K5_rep4_f		5	-983868.8	-981489.6	4758.4
str_K5_rep17_f		5	-983831.6	-981491.3	4680.6
str_K5_rep9_f		5	-983865.5	-981494.0	4743.0
str_K5_rep29_f		5	-983881.5	-981493.5	4776.0
str_K5_rep27_f		5	-983849.2	-981491.4	4715.7
str_K5_rep12_f		5	-983841.3	-981491.3	4700.0
str_K5_rep3_f		5	-983921.3	-981494.3	4854.1
str_K5_rep25_f		5	-983818.1	-981491.7	4652.8
str_K5_rep26_f		5	-983971.4	-981496.2	4950.4
str_K5_rep1_f		5	-983834.4	-981487.8	4693.2
str_K5_rep6_f		5	-983947.3	-981494.8	4905.1
str_K5_rep24_f		5	-983776.8	-981496.0	4561.5
str_K5_rep18_f		5	-983861.4	-981492.5	4737.7
str_K5_rep14_f		5	-983813.8	-981493.0	4641.7
str_K5_rep15_f		5	-983928.1	-981494.1	4868.1
str_K5_rep28_f		5	-983845.9	-981488.8	4714.1
str_K5_rep11_f		5	-983827.6	-981491.7	4671.7
str_K5_rep10_f		5	-983829.5	-981490.5	4677.9
str_K5_rep22_f		5	-983884.9	-981494.7	4780.3
str_K5_rep21_f		5	-983780.7	-981486.9	4587.8
str_K5_rep16_f		5	-983902.6	-981492.4	4820.3
str_K5_rep7_f		5	-983863.8	-981493.0	4741.5
str_K5_rep19_f		5	-983849.2	-981490.9	4716.5
str_K5_rep8_f		5	-983752.4	-981493.9	4517.0
str_K4_rep6_f		4	-987567.4	-985722.8	3689.2
str_K4_rep4_f		4	-987572.4	-985715.6	3713.6
str_K4_rep14_f		4	-987665.5	-985716.3	3898.5
str_K4_rep9_f		4	-987572.1	-985721.1	3702.0
str_K4_rep17_f		4	-987551.5	-985711.4	3680.0
str_K4_rep24_f		4	-987643.5	-985715.1	3856.8
str_K4_rep28_f		4	-987629.5	-985716.5	3826.1
str_K4_rep15_f		4	-987590.8	-985719.5	3742.5
str_K4_rep18_f		4	-987609.0	-985712.4	3793.3
str_K4_rep22_f		4	-987630.4	-985715.8	3829.2
str_K4_rep26_f		4	-987639.5	-985718.6	3841.9
str_K4_rep3_f		4	-987645.5	-985716.0	3859.0
str_K4_rep7_f		4	-987609.1	-985714.7	3788.8
str_K4_rep10_f		4	-987641.0	-985721.3	3839.3
str_K4_rep23_f		4	-987607.0	-985716.6	3780.7
str_K4_rep1_f		4	-987636.8	-985719.5	3834.7
str_K4_rep5_f		4	-987552.6	-985717.5	3670.3
str_K4_rep25_f		4	-987503.9	-985713.7	3580.3
str_K4_rep20_f		4	-987673.8	-985716.6	3914.4
str_K4_rep27_f		4	-987562.5	-985715.2	3694.6
str_K4_rep16_f		4	-987582.4	-985716.2	3732.5
str_K4_rep30_f		4	-987635.0	-985719.3	3831.5
str_K4_rep19_f		4	-987602.9	-985716.7	3772.4
str_K4_rep21_f		4	-987527.4	-985717.9	3618.9
str_K4_rep13_f		4	-987582.9	-985718.7	3728.3
str_K4_rep12_f		4	-987662.4	-985717.8	3889.2
str_K4_rep2_f		4	-987655.5	-985719.3	3872.4
str_K4_rep8_f		4	-987633.3	-985716.5	3833.7
str_K4_rep11_f		4	-987597.9	-985717.7	3760.4
str_K4_rep29_f		4	-987581.7	-985715.2	3733.0
str_K3_rep23_f		3	-991996.2	-990623.7	2744.9
str_K3_rep6_f		3	-991975.6	-990623.8	2703.6
str_K3_rep26_f		3	-991976.8	-990626.8	2699.9
