"","max_prob","K","cultivar_names"
"155",0.4779,"K1","LADY_BALFOUR"
"156",0.4997,"K2","LADY_CHRISTL"
"157",0.6562,"K2","LADY_CLAIRE"
"158",0.5116,"K2","LADY_JO"
"159",0.5373,"K2","LADY_ROSETTA"
"160",0.5369,"K2","LIBERTAS"
"161",0.6721,"K2","LINDA"
"162",0.5293,"K2","LINTON"
"163",0.643,"K2","LINZER_DELIKATESS"
"164",0.6528,"K2","LIONHEART"
"165",0.6793,"K2","MADELEINE"
"166",0.5979,"K2","MADINGLEY"
"167",0.4951,"K2","MAJESTIC"
"168",0.8192,"K2","MARABEL"
"169",0.5458,"K2","MARFONA"
"170",0.6992,"K2","MARILYN"
"171",0.5307,"K2","MARIS_ANCHOR"
"172",0.4417,"K1","MARIS_BARD"
"173",0.4047,"K1","MARIS_PEER"
"174",0.7206,"K1","MARIS_PIPER"
"175",0.7139,"K2","MARKIES"
"176",0.5892,"K1","MAXINE"
"177",0.7132,"K2","MEGARA"
"178",0.5721,"K2","MELODY"
"179",0.4741,"K1","MIDAS"
"180",0.6653,"K2","MILVA"
"181",0.4446,"K1","MIMI"
"182",0.6194,"K2","MIRA"
"183",0.5747,"K2","MOIRA"
"184",0.6312,"K1","MONTROSE"
"185",0.4383,"K1","MORAG"
"186",0.6938,"K2","MORENE"
"187",0.7799,"K2","MOZART"
"188",0.8078,"K3","MYATT'S_ASHLEAF"
"189",0.596,"K1","NADINE"
"190",0.7649,"K1","NAVAN"
"191",0.4274,"K2","NDTX_4271_5-R"
"192",0.7158,"K2","NICOLA"
"193",0.6882,"K2","NOVELLA"
"194",0.523,"K1","OLYMPUS"
"195",0.6335,"K2","OPERA"
"196",0.6373,"K2","ORCHESTRA"
"197",0.7438,"K2","ORIANA"
"198",0.5751,"K1","OTHELLO"
"199",0.6337,"K1","PALADIN"
"200",0.7212,"K2","PANDA"
"201",0.6125,"K2","PARAMOUNT"
"202",0.5363,"K2","PATRONES"
"203",0.4153,"K2","PENTLAND_ACE"
"204",0.5275,"K3","PENTLAND_BEAUTY"
"205",0.4699,"K2","PENTLAND_CROWN"
"206",0.3504,"K2","PENTLAND_DELL"
"207",0.4174,"K2","PENTLAND_IVORY"
"208",0.4841,"K2","PENTLAND_JAVELIN"
"209",0.643,"K2","PENTLAND_MARBLE"
"210",0.4057,"K2","PENTLAND_SQUIRE"
"211",0.6387,"K2","PEPO_1978"
"212",0.5592,"K2","PICASSO"
"213",0.5988,"K2","PIMPERNEL"
"214",0.6662,"K2","PIONEER"
"215",0.6136,"K1","PIXIE"
"216",0.4992,"K2","PREMIERE"
"217",0.5303,"K2","PRODUCENT"
"218",0.5065,"K2","PROVOST"
"219",0.3452,"K3","R.P.LUSTRE"
"220",0.5194,"K2","RANGER_RUSSET"
"221",0.5664,"K3","RATTE"
"222",0.5938,"K2","RECORD"
"223",0.5604,"K2","REMBRANDT"
"224",0.5267,"K2","RIO_ROJO"
"225",0.5942,"K2","ROBIJN"
"226",0.6108,"K1","ROCKET"
"227",0.4945,"K2","RODE_STAR"
"228",0.6932,"K2","ROMANO"
"229",0.4536,"K2","ROMEO"
"230",0.4705,"K2","ROOSTER"
"231",0.4048,"K2","ROYAL"
"232",0.5754,"K3","ROYAL_KIDNEY"
"233",0.6298,"K2","RUBESSE"
"234",0.4793,"K2","RUSSET_BURBANK"
"235",0.4515,"K2","RUSSET_NORKOTAH"
"236",0.7193,"K2","SAFARI"
"237",0.5544,"K2","SANTANA"
"238",0.5733,"K2","SANTE"
"239",0.6585,"K2","SAPHIRE"
"240",0.6154,"K2","SARPO_MIRA"
"241",0.6902,"K2","SARPO_SHONA"
"242",0.4897,"K2","SASSY"
"243",0.5886,"K2","SATURNA"
"244",0.6394,"K2","SAVA"
"245",0.6539,"K1","SAXON"
"246",0.8003,"K1","SCARBOROUGH"
"247",0.5717,"K3","SEFTON_WONDER"
"248",0.7044,"K2","SERAFINA"
"249",0.5316,"K1","SETANTA"
"250",0.6937,"K3","SHARPE'S_EXPRESS"
"251",0.3516,"K2","SHELAGH"
"252",0.5993,"K2","SHELFORD"
"253",0.459,"K2","SHEPODY"
"254",0.603,"K1","SLANEY"
"255",0.6073,"K1","SPEY"
"256",0.4684,"K2","SPUNTA"
"257",0.8135,"K1","STAMINA"
"258",0.3572,"K2","STEMSTER"
"259",0.4268,"K2","STORMONT_ENTERPRISE"
"260",0.4884,"K1","STIRLING"
"261",0.5788,"K2","SYLVANA"
"262",0.6837,"K1","TAY"
"263",0.6749,"K2","TIMATE"
"264",0.7841,"K2","TOLUCA"
"265",0.5769,"K2","TORRIDON"
"266",0.5116,"K1","ULSTER_SCEPTRE"
"267",0.4874,"K3","UMATILLA_RUSSET"
"268",0.4358,"K2","VALES_EMERALD"
"269",0.5625,"K1","VALES_EVEREST"
"270",0.4225,"K2","VALES_RUSSET"
"271",0.6906,"K1","VALES_SOVEREIGN"
"272",0.6885,"K1","VALOR"
"273",0.6005,"K2","VAN_GOGH"
"274",0.4816,"K2","VANTAGE"
"275",0.561,"K2","VERDI"
"276",0.6713,"K2","VICTORIA"
"277",0.7894,"K2","VIVALDI"
"278",0.5722,"K2","WILJA"
"279",0.6774,"K1","WINSTON"
"280",0.3918,"K2","XD2-21"
"281",0.5204,"K2","YUKON_GOLD"
"282",0.5989,"K2","ZORBA"
