"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.23177996513014,1.24841861695905,1.28026295633027,1.12353827567024,1.21667977149462
"2","Max_Max_height_m",1.20490056188706,1.1833326502931,1.17274140422006,1.10743383183604,1.13365865441466
"3","Max_Ave_height_m",1.19332209320478,1.30379404987869,1.24634616422444,1.1860066712675,1.19555802793346
"4","Max_area_plant_m2",1.20997150292808,1.27308733883968,1.21553810837258,1.1012889079893,1.14324260087788
"5","Max_volume_plant_m3",1.22436264203423,1.3168801535459,1.17234834088631,1.17401080243062,1.21091126893198
