"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.13697062204897,1.19802766800462,1.20618314088573,1.11175632727136,1.22020802414271
"2","Max_Max_height_m",1.23639544170181,1.19923726953336,1.19246537822665,1.09101108953642,1.13244181299812
"3","Max_Ave_height_m",1.24086005252566,1.25894962979034,1.22272096589455,1.15600173750814,1.11413623322667
"4","Max_area_plant_m2",1.17297588926996,1.32532347566004,1.29477212703446,1.05351917145221,1.10073471305105
"5","Max_volume_plant_m3",1.2045553006477,1.30270187682614,1.25814648175798,1.1034647839075,1.15175739555445
