"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.16972415776609,1.21047252199989,1.15012930207769,1.14117314127828,1.21827667308892
"2","Max_Max_height_m",1.19861287343677,1.13179396974626,1.13288109257446,1.11745078282695,1.12816817393365
"3","Max_Ave_height_m",1.21476436097598,1.23691204453998,1.20038330136797,1.18000166267938,1.16678831464531
"4","Max_area_plant_m2",1.16505653983806,1.23815604859814,1.29049303930382,1.1080764181912,1.17113071293201
"5","Max_volume_plant_m3",1.22661695480641,1.31835528134265,1.1905322113603,1.15997855028449,1.20322798848649
