"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.16972415776322,1.21047252199407,1.15012930207073,1.14117314127079,1.21827667311065
"2","Max_Max_height_m",1.19861287340503,1.13179396974292,1.13288109256838,1.11745078281986,1.1281681739496
"3","Max_Ave_height_m",1.2147643609833,1.23691204452961,1.20038330135881,1.18000166265223,1.16678831463601
"4","Max_area_plant_m2",1.16505653983546,1.23815604859714,1.29049303929399,1.10807641818792,1.17113071293583
"5","Max_volume_plant_m3",1.22661695476926,1.31835528135134,1.19053221143012,1.15997855029466,1.20322798852679
