"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.13697062210241,1.19802766799666,1.20618314090777,1.11175632726439,1.22020802486443
"2","Max_Max_height_m",1.2363954416808,1.19923726950335,1.19246537822638,1.09101108953629,1.1324418129936
"3","Max_Ave_height_m",1.24086005252629,1.25894962978875,1.22272096590006,1.15600173750921,1.11413623324124
"4","Max_area_plant_m2",1.17297588928002,1.32532347566502,1.29477212702948,1.05351917149017,1.10073471306891
"5","Max_volume_plant_m3",1.20455530064774,1.30270187682873,1.25814648175924,1.10346478390763,1.15175739555246
