"ID","yield_kg","Max_Max_height_m","Max_Ave_height_m","Max_area_plant_m2","Max_volume_plant_m3"
"COURAGE",5.19749999999825,0.539999999998054,0.296662499996522,0.441821249999892,0.120603015626362
"COURLAN",2.97666666666491,0.449999999998054,0.184112499996522,0.328614583499892,0.0572758757513617
"CRAIGS_ROYAL",3.92999999999825,0.563749999998054,0.231824999996522,0.303743750124892,0.0694621275013617
"CRAIGS_SNOW-WHITE",2.11916666666491,0.423749999998054,0.183374999996522,0.294263749999892,0.0530741931263617
"CRAMOND",5.75083333333158,0.597499999998053,0.304062499996522,0.539732083249892,0.156136934751362
"CRISPS_FOR_ALL",3.88749999999825,0.491249999998053,0.253024999996522,0.437440416624892,0.0896797716263617
"CROMWELL",4.44833333333158,0.577499999998053,0.318299999996522,0.457886041624892,0.124372831251362
"D22/1",3.42999999999825,0.547499999998054,0.244262499996522,0.450017083374892,0.0955384868763617
"D23/3",3.13499999999825,0.461249999998054,0.242674999996522,0.408150000124892,0.0908375756263617
"D47-11",3.34916666666491,0.596249999998054,0.292162499996522,0.465859583374892,0.126681701126362
"D49/1",3.89999999999825,0.628749999998053,0.303924999996522,0.385629999999892,0.114468957751362
"DAISY",4.01916666666491,0.526249999998054,0.264987499996522,0.409899166624892,0.0879706728763617
"DARK_RED_NORLAND",2.97333333333158,0.449999999998053,0.225824999996522,0.259737291874892,0.0499961201263617
"DARWINA",2.91333333333158,0.512499999998054,0.261412499996522,0.378470416749892,0.0930376815013617
"DESIREE",5.28333333333158,0.587499999998053,0.296574999996522,0.508787499999892,0.139873049126362
"DITTA",4.61333333333158,0.606249999998054,0.282374999996522,0.412487499874892,0.0932828985013617
"DR._MCINTOSH",4.92666666666492,0.488749999998054,0.274062499996522,0.463486041749892,0.108893854751362
"DRAGA",4.43583333333158,0.477499999998053,0.245062499996522,0.369512500124892,0.0820749075013617
"DUKE_OF_YORK",4.04499999999825,0.434999999998053,0.234974999996522,0.377937499999892,0.0802533413763617
"DUNBAR_STANDARD",5.21666666666491,0.691249999998054,0.386962499996522,0.517691249874892,0.168440941126362
"DUNDROD",3.93916666666491,0.397499999998053,0.182949999996522,0.313413749874892,0.0507627521263617
"ECLIPSE",4.80666666666491,0.539999999998054,0.307587499996522,0.392957916499892,0.106445400251362
"EDEN",4.12583333333158,0.599999999998053,0.332862499996522,0.435314166499892,0.145052155251362
"EDZELL_BLUE",4.97833333333158,0.578749999998053,0.312637499996522,0.438732499874892,0.107096468751362
"ELISABETH",5.26666666666491,0.578749999998053,0.279612499996522,0.485976249874892,0.120033537001362
"EMPEROR",3.57416666666491,0.444999999998054,0.218749999996522,0.337149999999892,0.0743945002513617
"EOS",6.82083333333158,0.661249999998053,0.346174999996522,0.532187083249892,0.178679685376362
"EPICURE",3.79249999999825,0.526249999998053,0.285537499996522,0.406629166749892,0.104838359501362
"ERNTESTOLZ",4.80833333333158,0.557499999998054,0.332437499996522,0.463586666749892,0.130226157251362
"ESCORT",6.30499999999825,0.571249999998054,0.315762499996522,0.523616250124892,0.131641381626362
"ESMERALDA",2.57666666666491,0.487499999998053,0.230112499996522,0.415743333374892,0.0919156577513617
"ESTIMA",5.63666666666492,0.592499999998054,0.280612499996522,0.389354999999892,0.0957505255013617
"EVE_BALFOUR",5.40249999999825,0.519999999998054,0.289474999996522,0.475524374999892,0.128391075251362
"EXCALIBUR",5.27749999999825,0.676249999998053,0.364449999996522,0.476445416624892,0.175613916251362
"EXQUISA",4.80916666666491,0.568749999998053,0.289837499996522,0.488521666749892,0.116823796001362
"FESTIVAL",3.05083333333158,0.418749999998054,0.187674999996522,0.259197916624892,0.0490988578763617
"FIANNA",3.80749999999824,0.466249999998053,0.241024999996522,0.315696666749892,0.0695996477513617
"FIFTYFOLD",3.13999999999825,0.527499999998054,0.299899999996522,0.310501249874892,0.0889753166263617
"FONTANE",4.62916666666491,0.579999999998054,0.281762499996522,0.426101666749892,0.105648287876362
"FORTYFOLD",4.53499999999825,0.511249999998053,0.236824999996522,0.399998333374892,0.0815751646263617
"FRONTIER_RUSSET",3.12583333333158,0.481249999998054,0.221724999996522,0.315020833249892,0.0684107683763617
"G.81071",4.01999999999825,0.529999999998054,0.263499999996522,0.434738750124892,0.105232804126362
"G.88661",4.18249999999825,0.567499999998053,0.269162499996522,0.378101666749892,0.0969537508763617
"G.886611",5.33583333333158,0.541249999998053,0.277312499996522,0.536073333499892,0.123322787876362
"G.8867Y%12",4.57083333333158,0.513749999998054,0.237249999996522,0.399647916499892,0.0877563557513617
"G.88839",2.35249999999825,0.552499999998053,0.277662499996522,0.349080416749892,0.0977574285013617
"G.88842",4.57166666666492,0.609999999998054,0.357912499996522,0.439718333374892,0.147641074001362
"GALACTICA",5.54333333333158,0.596249999998053,0.301962499996522,0.503893333249892,0.139687957001362
"GEMSON",4.81999999999825,0.553749999998054,0.279137499996522,0.450890833249892,0.109084342626362
"GL.76B/102",2.12083333333158,0.466249999998053,0.219887499996522,0.396609583374892,0.0905928333763617
"GL.76B/94",4.06999999999825,0.517499999998054,0.235249999996522,0.427067083249892,0.0897182178763617
"GL.77M/106",3.99749999999825,0.638749999998053,0.367537499996522,0.485725624999892,0.160792825251362
"GL.78/166",2.47583333333158,0.512499999998054,0.245837499996522,0.428087916624892,0.0909606796263617
"GL.78/53",3.21333333333158,0.472499999998053,0.246837499996522,0.338249583249892,0.0658441566263617
"GL.78/97",3.47666666666491,0.613749999998053,0.327787499996522,0.483719583499892,0.132048142376362
"GL.79/42",4.60749999999825,0.561249999998054,0.267674999996522,0.545575416749892,0.129959503501362
"GL.79/45",4.31916666666491,0.504999999998054,0.200512499996522,0.447975833249892,0.0815715641263617
"GL.81_NT_25",5.10999999999825,0.579999999998054,0.280937499996522,0.499818333249892,0.137933613126362
"GLADIATOR",5.31499999999825,0.647499999998053,0.373412499996522,0.546436249999892,0.201884916126362
"GLAMIS",5.59499999999825,0.616249999998054,0.356962499996522,0.509323749999892,0.163183529501362
"GOLDEN_MILLENNIUM",4.85083333333158,0.554999999998054,0.278587499996522,0.398711666874892,0.106282376126362
"GOLDEN_NUGGET",3.79249999999825,0.524999999998053,0.243487499996522,0.488489166749892,0.115304194876362
"GOLDEN_WONDER",3.74833333333158,0.734999999998053,0.365549999996522,0.520368750124892,0.182071001376362
