"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.2317799651412,1.24841861693329,1.28026295633527,1.12353827518108,1.21667977148478
"2","Max_Max_height_m",1.20490056188807,1.18333265030892,1.17274140422526,1.10743383182752,1.13365865443562
"3","Max_Ave_height_m",1.1933220931848,1.3037940498818,1.2463461642379,1.18600667126513,1.19555802792514
"4","Max_area_plant_m2",1.20997150291388,1.27308733883643,1.21553810837778,1.10128890799728,1.14324260087132
"5","Max_volume_plant_m3",1.22436264201209,1.31688015362285,1.17234834088543,1.17401080240676,1.21091126897779
