"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.1865485165668,1.24013938937506,1.23461391055665,1.09657809944229,1.22176164279086
"2","Max_Max_height_m",1.19409692052778,1.15830833012281,1.13688111231398,1.08346166525333,1.12626748392076
"3","Max_Ave_height_m",1.18288675964387,1.29124341112659,1.23473921031885,1.18971670339256,1.19061438621356
"4","Max_area_plant_m2",1.16317607413143,1.25008242071023,1.2282471366575,1.12444084842136,1.16443911318246
"5","Max_volume_plant_m3",1.21579886709723,1.32195826174899,1.13491989038083,1.18271965499486,1.21219747496396
