"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.18654851657272,1.2401393893972,1.23461391057056,1.09657809945326,1.22176164278608
"2","Max_Max_height_m",1.19409692052478,1.15830833013377,1.13688111233464,1.08346166529151,1.1262674839228
"3","Max_Ave_height_m",1.18288675965253,1.29124341111897,1.2347392103327,1.1897167034046,1.19061438621586
"4","Max_area_plant_m2",1.16317607418844,1.25008242071846,1.22824713666485,1.12444084841808,1.16443911318426
"5","Max_volume_plant_m3",1.21579886712134,1.32195826178912,1.13491989036812,1.18271965499426,1.21219747494002
