"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.16972415776034,1.21047252199059,1.15012930208357,1.14117314126631,1.21827667313336
"2","Max_Max_height_m",1.19861287339858,1.13179396974326,1.13288109256537,1.11745078281438,1.12816817395625
"3","Max_Ave_height_m",1.21476436100026,1.23691204453583,1.20038330137225,1.1800016626844,1.16678831464353
"4","Max_area_plant_m2",1.16505653986177,1.23815604859306,1.29049303928095,1.10807641819133,1.17113071293596
"5","Max_volume_plant_m3",1.22661695479226,1.31835528135308,1.1905322113924,1.159978550275,1.20322798850967
