"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.1865485165778,1.24013938938797,1.23461391057805,1.09657809944691,1.22176164280343
"2","Max_Max_height_m",1.19409692048271,1.15830833013203,1.13688111233672,1.08346166525534,1.12626748392651
"3","Max_Ave_height_m",1.18288675962247,1.29124341114098,1.23473921033083,1.18971670341049,1.19061438621239
"4","Max_area_plant_m2",1.16317607415029,1.25008242071297,1.22824713665576,1.12444084842083,1.16443911318252
"5","Max_volume_plant_m3",1.21579886711545,1.32195826179093,1.1349198903811,1.18271965498302,1.21219747496824
