"","trait","additive","1-dom-alt","1-dom-ref","2-dom-alt","2-dom-ref"
"1","yield_kg",1.18654851656927,1.24013938940094,1.23461391056374,1.09657809945807,1.22176164276113
"2","Max_Max_height_m",1.19409692051036,1.15830833012963,1.13688111232541,1.0834616652643,1.12626748392427
"3","Max_Ave_height_m",1.1828867596327,1.29124341113703,1.23473921032447,1.1897167034244,1.19061438621392
"4","Max_area_plant_m2",1.16317607415036,1.25008242071137,1.22824713665275,1.12444084842384,1.16443911318289
"5","Max_volume_plant_m3",1.21579886709816,1.32195826178999,1.13491989036826,1.18271965498998,1.21219747496868
