"ID","PC1","PC2","PC3","PC4","PC5"
"00C133-020",6.76442760494311,1.37794580466716,0.445903052013854,-1.01904394366324,-0.557379854297777
"01C_071-002",0.241684931169411,0.324794033968003,0.327850538094872,-1.88949162980934,-0.0857596582743241
"02M_012-001",4.69423791766236,-1.6589192594569,2.84628524047973,1.15079126236473,-0.320133934956786
"03M_016-002",1.64775941105958,-4.44023806680024,-0.654941550159142,1.64634009116699,0.839229345541894
"03M_034-002",4.03076488342075,-0.951978073762437,0.59588022384833,-1.8113087617513,-1.64968469277362
"04C_055-004",2.52463446956207,-0.496027974928631,3.31056598196599,1.20585480848088,0.0541869934997764
"04C_126-005",2.81965149802675,1.05855026510014,0.13916486538059,-2.47720969070736,-1.75316947707861
"04M_034-013",2.43636946162431,-2.36460499063868,1.20331169455589,1.87777370839511,1.48998314284617
"05M_002-001",-1.39017043138099,0.203862535915236,0.855601252546629,1.00025323555491,1.21294210316767
"05M_004-003",0.619555416089251,2.5973770653139,1.53276922824543,-0.337002924978359,2.18875393689515
"05M_012-004",1.73736323958517,1.18241228086812,-0.931331578749732,-0.325913620389347,1.60456164459245
"06C_127-002",2.98797479612005,1.72048183763316,0.675127808067269,3.8495443978163,-3.1766941226063
"12288_AF_23",4.08123559753096,0.753682645593901,1.50853407678256,0.349314132579664,0.385005635160336
"12601AB1",3.68681824402298,-3.85218726378111,1.11106005474789,0.790163492665543,-2.78801895897103
"12636_A_2",4.45976358862149,-1.91454404311162,-0.602833503501353,1.88617241648901,-0.484246436768397
"15119_AC_5",4.29400094826931,-0.493820784712737,-1.9336568309791,-5.83845214958775,-0.927150914275443
"1512C16",-1.13838259233722,-1.29657703482006,-3.60136237756405,0.736681894677895,-0.722417169522947
"15144_A_3",1.4850646396418,4.2709470620458,-2.10368676382961,-3.854030748164,-4.9278170480804
"1563C14",-3.78042888546137,-3.35806449445203,0.0368784273315447,-0.541828363400052,-2.30144341597086
"2182EF7",1.57860450482323,2.24508900878794,-3.1556636303889,-1.03214475530005,-1.29202548583499
"3681AD1",-1.53333903438405,2.07023457658318,-0.517293413296889,-1.91099578029851,2.54635795125741
"5008AB6",-1.17276416633107,2.30030863902429,-0.52016396495464,-1.82581226737025,-2.50179003854592
"8204_A_4",2.49674950908022,3.30214352175701,-2.30135603847482,-0.25038132684347,-2.31026042949278
"AGRIA",-3.68399626462665,1.74514013851657,3.79871239552118,2.95019452502212,2.06272681226367
"AILSA",4.98628235729524,-1.48706378760308,2.16527199684469,3.17773234400856,-1.01397283729627
"ALMERA",-3.14816929971595,1.75186259784641,0.873080457866325,0.367196438021636,2.15546921319581
"ALPHA",-3.28271862979236,-0.470086103446482,0.322223975379837,-1.62721392413615,1.25851198290443
"ALWARA",-1.70438203215559,2.47958826633453,-0.181874882959453,-2.80523255917912,-1.58704178826776
"AMADRA",-1.665487544217,-0.258711424725741,2.46345475548996,0.550159574261675,0.380434294753103
"AMOUR",4.48081953511963,1.55454795710981,-0.478663068037744,-2.07956541418284,-1.34266899765616
"ANNA",3.0805201068282,2.45293182711004,-4.08273102931884,-5.16662239822005,-2.82252226440941
"ANNABELLE",-3.45018828300408,2.48385860759922,2.29496576950823,0.0525919437378783,-1.09579480517609
"ANYA",-2.27166609783301,0.268389113071324,0.412532190869741,1.87698512363479,-4.19080963646756
"ARGOS",3.49136960916522,2.19637249729487,-1.19559354914715,-4.311025021207,-0.176819793006381
"ARIELLE",-3.38207909037236,1.62886526530576,0.672271930079071,-0.105669322547313,-0.508996658403418
"ARKULA",-3.02023892853243,1.06108327869187,-0.214834883804401,-0.796906159132387,1.62155108418259
"ARMADA",-1.8123211535827,0.688744429977586,0.161260134432474,-1.2488689609184,1.33587719468157
"AVALANCHE",3.0708729964045,0.277724215393935,1.13009870364834,-0.252427511978378,4.67096936499504
"BAILLIE",3.18568975686489,-0.0993369932736982,1.6219094345565,-0.180731390354427,1.61200638272291
"BALMORAL",1.00032300027597,3.21653055166103,-3.30994098630416,-3.1507324088756,1.32239365190698
"BAMBINO",5.16105440406004,1.20496338969129,1.47166969727765,-0.592383379683707,0.155223898092842
"BARNA",0.988947611999924,4.03742593498167,-2.26035957892274,-2.13927629673611,-3.22987307616331
"BELLE_DE_FONTENAY",-2.95794717678953,-8.16659908267543,-2.74565886277667,-2.00496342453641,-3.90918582106372
"BENOL",4.38719873985521,-2.22270437162684,2.7029706410485,1.18664004839585,0.26041703863746
"BF_15",-3.59716021729491,-6.40294244325952,-0.378568771603359,-2.0549243994017,-3.63309708162784
"BINTJE",-1.78404205561513,-2.0760007044297,-0.406694531042423,-0.0747764837176676,0.483731074485453
"BIONICA_EX_SASA",-0.4208281973092,1.46183646281278,-0.161040327794854,0.111451330275922,0.874060872300903
"BLUE_DANUBE",-3.03149635596462,-0.0479451844567648,0.824658772078251,-2.75923901452787,2.49820439812779
"BONNIE",2.43281636281677,1.82362378933763,0.503022846388693,-0.652839753051015,-0.429529524834307
"BOUNTY",4.73987921680278,1.38242086152971,0.881596832293094,-0.235428879263207,1.67360311123794
"BRITISH_QUEEN",-1.9785634516291,-4.44417197183367,-3.23598624041332,-0.204541067544126,1.86458976522923
"BRODICK",5.15545152663808,1.56545392701983,2.06518248793973,3.07330795404223,-1.92469325638118
"BRODIE",2.92908884381618,2.15925713776958,-4.29921162327609,-2.39570877904208,-1.836984697288
"BUCHAN",3.28751610598383,2.94107707108744,-3.90218208946754,-0.401318567932592,-2.9949332088484
"BURREN",0.107804008538076,3.10309658391813,-2.28757076610011,-2.43837210014232,-1.55144058587749
