Plot,Block,System,Replicate,Year,Variety.name,Yield_Kg,Yield/plant_Kg,Emergence_DAP_Mean,Potato_eye_score_Mean,Tuber_Length_cm_Mean,Tuber_Width_cm_Mean,Tuber_L/W_ratio_Mean,Tuber_Volume_cm3_Mean,Integrated_canopy_volume_calculated,Integrated_canopy_volume_per_plant_calculated,Integrated_Ground_Cover_calculated,Integrated_Ground_Cover_per_plant_calculated,SPAD_Mean_at_54_DAP.,SPAD_Mean_at_69_DAP.,SPAD_Mean_at_75_DAP.,SPAD_Mean_at_84_DAP.,SPAD_Mean_at_89_DAP.,SPAD_Mean_at_105_DAP.,Leaf_Chl_mg/m2_Mean_at_54_DAP.,Leaf_Chl_mg/m2_Mean_at_69_DAP.,Leaf_Chl_mg/m2_Mean_at_75_DAP.,Leaf_Chl_mg/m2_Mean_at_84_DAP.,Leaf_Chl_mg/m2_Mean_at_89_DAP.,Leaf_Chl_mg/m2_Mean_at_105_DAP.,SPAD_Plant_1_at_54_DAP.,SPAD_Plant_1_at_69_DAP.,SPAD_Plant_1_at_75_DAP.,SPAD_Plant_1_at_84_DAP.,SPAD_Plant_1_at_89_DAP.,SPAD_Plant_1_at_105_DAP.,SPAD_Plant_2_at_54_DAP.,SPAD_Plant_2_at_69_DAP.,SPAD_Plant_2_at_75_DAP.,SPAD_Plant_2_at_84_DAP.,SPAD_Plant_2_at_89_DAP.,SPAD_Plant_2_at_105_DAP.,Leaf_Chl_mg/m2_Plant_1_at_54_DAP.,Leaf_Chl_mg/m2_Plant_1_at_69_DAP.,Leaf_Chl_mg/m2_Plant_1_at_75_DAP.,Leaf_Chl_mg/m2_Plant_1_at_84_DAP.,Leaf_Chl_mg/m2_Plant_1_at_89_DAP.,Leaf_Chl_mg/m2_Plant_1_at_105_DAP.,Leaf_Chl_mg/m2_Plant_2_at_54_DAP.,Leaf_Chl_mg/m2_Plant_2_at_69_DAP.,Leaf_Chl_mg/m2_Plant_2_at_75_DAP.,Leaf_Chl_mg/m2_Plant_2_at_84_DAP.,Leaf_Chl_mg/m2_Plant_2_at_89_DAP.,Leaf_Chl_mg/m2_Plant_2_at_105_DAP.,NDRE_at_55_DAP.,NDRE_at_70_DAP.,NDRE_at_75_DAP.,NDRE_at_84_DAP.,NDRE_at_87_DAP.,NDRE_at_97_DAP.,NDRE_at_109_DAP.,NDVI_at_55_DAP.,NDVI_at_70_DAP.,NDVI_at_75_DAP.,NDVI_at_84_DAP.,NDVI_at_87_DAP.,NDVI_at_97_DAP.,NDVI_at_109_DAP.,RE_at_55_DAP.,RE_at_70_DAP.,RE_at_75_DAP.,RE_at_84_DAP.,RE_at_87_DAP.,RE_at_97_DAP.,RE_at_109_DAP.,NIR_at_55_DAP.,NIR_at_70_DAP.,NIR_at_75_DAP.,NIR_at_84_DAP.,NIR_at_87_DAP.,NIR_at_97_DAP.,NIR_at_109_DAP.,R_at_55_DAP.,R_at_70_DAP.,R_at_75_DAP.,R_at_84_DAP.,R_at_87_DAP.,R_at_97_DAP.,R_at_109_DAP.,Max_Max_height_m,Max_Max_height_DAP.,Max_Ave_height_m,Max_Ave_height_DAP.,Max_area_plant_m2,Max_area_plant_DAP.,Max_volume_plant_m3,Max_volume_plant_DAP.,Mean_Height_m_at_33_DAP.,Mean_Height_m_at_62_DAP.,Mean_Height_m_at_70_DAP.,Mean_Height_m_at_87_DAP.,Mean_Height_m_at_95_DAP.,Mean_Height_m_at_102_DAP.,Mean_Height_m_at_117_DAP.,Mean_Height_sd_at_33_DAP.,Mean_Height_sd_at_62_DAP.,Mean_Height_sd_at_70_DAP.,Mean_Height_sd_at_87_DAP.,Mean_Height_sd_at_95_DAP.,Mean_Height_sd_at_102_DAP.,Mean_Height_sd_at_117_DAP.,Max_Height_m_at_33_DAP.,Max_Height_m_at_62_DAP.,Max_Height_m_at_70_DAP.,Max_Height_m_at_87_DAP.,Max_Height_m_at_95_DAP.,Max_Height_m_at_102_DAP.,Max_Height_m_at_117_DAP.,Ground_Cover_m2_at_33_DAP.,Ground_Cover_m2_at_62_DAP.,Ground_Cover_m2_at_70_DAP.,Ground_Cover_m2_at_87_DAP.,Ground_Cover_m2_at_95_DAP.,Ground_Cover_m2_at_102_DAP.,Ground_Cover_m2_at_117_DAP.,Ground_Cover_per_plant_m2_at_33_DAP.,Ground_Cover_per_plant_m2_at_62_DAP.,Ground_Cover_per_plant_m2_at_70_DAP.,Ground_Cover_per_plant_m2_at_87_DAP.,Ground_Cover_per_plant_m2_at_95_DAP.,Ground_Cover_per_plant_m2_at_102_DAP.,Ground_Cover_per_plant_m2_at_117_DAP.,Canopy_Volume_m3_at_33_DAP.,Canopy_Volume_m3_at_62_DAP.,Canopy_Volume_m3_at_70_DAP.,Canopy_Volume_m3_at_87_DAP.,Canopy_Volume_m3_at_95_DAP.,Canopy_Volume_m3_at_102_DAP.,Canopy_Volume_m3_at_117_DAP.,Canopy_Volume_per_plant_m3_at_33_DAP.,Canopy_Volume_per_plant_m3_at_62_DAP.,Canopy_Volume_per_plant_m3_at_70_DAP.,Canopy_Volume_per_plant_m3_at_87_DAP.,Canopy_Volume_per_plant_m3_at_95_DAP.,Canopy_Volume_per_plant_m3_at_102_DAP.,Canopy_Volume_per_plant_m3_at_117_DAP.
275,1,Org,1,2018,CABARET,2.56,0.853333333,24.33333333,NA,NA,NA,NA,NA,11.3785275,3.792842501,70.99060008,23.66353336,46.9,43.9,NA,41.2,NA,NA,842.2851,801.2481,NA,764.3148,NA,NA,48.5,46.3,NA,38.4,NA,NA,45.3,41.5,NA,44,NA,NA,864.1715,834.0777,NA,726.0136,NA,NA,820.3987,768.4185,NA,802.616,NA,NA,0.3395,0.3532,NA,0.2148,NA,NA,NA,0.8395,0.8801,NA,0.6427,NA,NA,NA,19.261,19.1,NA,20.895,NA,NA,NA,39.075,39.971,NA,32.355,NA,NA,NA,3.406,2.553,NA,7.05,NA,NA,NA,0.46,95,0.1985,62,0.389066667,95,0.065995063,95,0.061622243,0.198498257,NA,NA,0.172838417,NA,0.150148073,0.043620664,0.113158686,NA,NA,0.108828109,NA,0.099262344,0.17,0.43,NA,NA,0.46,NA,0.42,0.4352,0.6599,NA,NA,1.1672,NA,0.8847,0.145066667,0.219966667,NA,NA,0.389066667,NA,0.2949,0.025225929,0.128982705,NA,NA,0.197985189,NA,0.130086579,0.008408643,0.042994235,NA,NA,0.065995063,NA,0.043362193
502,2,Org,2,2018,CABARET,1.66,0.83,27.5,NA,NA,NA,NA,NA,7.322123606,3.661061803,37.2151,18.60755,53.5,46.7,NA,49.75,NA,NA,932.5665,839.5493,NA,881.27025,NA,NA,52.3,43.6,NA,50.8,NA,NA,54.7,49.8,NA,48.7,NA,NA,916.1517,797.1444,NA,895.6332,NA,NA,948.9813,881.9542,NA,866.9073,NA,NA,0.347,0.3468,NA,0.2885,NA,0.241,NA,0.8438,0.8349,NA,0.7626,NA,0.7255,NA,19.173,19.176,NA,19.889,NA,20.52,NA,39.55,39.539,NA,36.02,NA,33.552,NA,3.356,3.556,NA,4.853,NA,5.358,NA,0.61,95,0.2665,62,0.3802,95,0.066019384,95,0.02496,0.266520959,NA,NA,0.176709627,NA,0,0.020207517,0.161166856,NA,NA,0.110070612,NA,0,0.08,0.53,NA,NA,0.61,NA,0,0.1375,0.4461,NA,NA,0.7604,NA,0,0.06875,0.22305,NA,NA,0.3802,NA,0,0.002914862,0.11737387,NA,NA,0.132038768,NA,0,0.001457431,0.058686935,NA,NA,0.066019384,NA,0
858,3,Con,1,2018,CABARET,5.78,1.926666667,28.33333333,NA,NA,NA,NA,NA,19.41774111,6.472580369,77.75844995,25.91948332,48.15,50.5,NA,44.9,NA,NA,859.38385,891.5295,NA,814.9271,NA,NA,51.5,47.2,NA,45.6,NA,NA,44.8,53.8,NA,44.2,NA,NA,905.2085,846.3888,NA,824.5024,NA,NA,813.5592,936.6702,NA,805.3518,NA,NA,0.3109,0.3249,NA,0.3383,NA,NA,NA,0.7354,0.891,NA,0.8656,NA,NA,NA,19.608,19.436,NA,19.275,NA,NA,NA,37.308,38.142,NA,38.992,NA,NA,NA,5.688,2.199,NA,2.811,NA,NA,NA,0.59,95,0.3069,95,0.5001,95,0.151834778,95,0.048292094,0.206036776,NA,NA,0.306879957,NA,0.203433296,0.030982083,0.114474358,NA,NA,0.143766938,NA,0.107069203,0.1,0.46,NA,NA,0.59,NA,0.42,0.1657,0.6091,NA,NA,1.5003,NA,1.3305,0.055233333,0.203033333,NA,NA,0.5001,NA,0.4435,0.007456026,0.123559113,NA,NA,0.455504334,NA,0.266075541,0.002485342,0.041186371,NA,NA,0.151834778,NA,0.088691847
1123,4,Con,2,2018,CABARET,4.64,1.546666667,31.66666667,NA,NA,NA,NA,NA,16.04171946,5.347239822,62.88570008,20.96190003,47.35,60.9,NA,48.45,NA,NA,848.44065,1033.7911,NA,863.48755,NA,NA,47.4,66.5,NA,48.7,NA,NA,47.3,55.3,NA,48.2,NA,NA,849.1246,1110.3935,NA,866.9073,NA,NA,847.7567,957.1887,NA,860.0678,NA,NA,0.3652,0.3725,NA,0.346,NA,0.391,NA,0.8471,0.8717,NA,0.8767,NA,0.8599,NA,18.962,18.879,NA,19.185,NA,18.676,NA,40.78,41.295,NA,39.492,NA,42.676,NA,3.376,2.831,NA,2.595,NA,3.212,NA,0.53,95,0.2876,95,0.435966667,95,0.124126609,95,0.040037071,0.233324478,NA,NA,0.287615261,NA,0.227562805,0.025660401,0.11128373,NA,NA,0.111269096,NA,0.11336847,0.09,0.47,NA,NA,0.53,NA,0.48,0.1079,0.527,NA,NA,1.3079,NA,0.8001,0.035966667,0.175666667,NA,NA,0.435966667,NA,0.2667,0.003938868,0.121444446,NA,NA,0.372379827,NA,0.179227734,0.001312956,0.040481482,NA,NA,0.124126609,NA,0.059742578
33,1,Org,1,2016,CAESAR,4.18,NA,NA,9.5,10.02528571,5.983357143,1.678577324,189.5478723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,2,Org,2,2016,CAESAR,2.1,NA,NA,10,8.412285714,5.345857143,1.571241241,127.4565339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745,3,Con,1,2016,CAESAR,6.2,NA,NA,9,10.85157143,6.321642857,1.73034988,226.208305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1133,4,Con,2,2016,CAESAR,4.84,NA,NA,10,10.11342857,6.054357143,1.669113196,198.1925378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,Org,1,2017,CAESAR,5.21,1.736666667,46,10,10.92428571,6.565285714,1.664582286,247.9647535,17.51731982,5.839106595,42.712125,14.237375,NA,NA,41,NA,46.5,54.9,NA,NA,761.579,NA,836.8135,951.7171,NA,NA,42.1,NA,46.5,54.9,NA,NA,39.9,NA,NA,NA,NA,NA,776.6259,NA,836.8135,951.7171,NA,NA,746.5321,NA,NA,NA,NA,NA,0.2957,NA,0.1583,NA,NA,NA,NA,0.893,NA,0.8541,NA,NA,NA,NA,19.797,NA,21.743,NA,NA,NA,NA,36.42,NA,29.929,NA,NA,NA,NA,2.059,NA,2.355,NA,NA,0.89,87,0.4937,102,0.453096667,102,0.223567547,102,NA,NA,0.265857352,0.471894367,NA,0.49380559,NA,NA,NA,0.090794234,0.142679779,NA,0.16297209,NA,NA,NA,0.53,0.89,NA,0.88,NA,NA,NA,0.6145,1.1682,NA,1.35929,NA,NA,NA,0.204833333,0.3894,NA,0.453096667,NA,NA,NA,0.1633,0.5508,NA,0.670702642,NA,NA,NA,0.054433333,0.1836,NA,0.223567547,NA
429,2,Org,2,2017,CAESAR,6.24,2.08,35.66666667,8.714285714,10.51157143,6.416714286,1.636118708,236.2208875,16.99600785,5.66533594,54.581275,18.19375835,NA,NA,49.55,NA,48.6,40.7,NA,NA,878.53445,NA,865.5394,757.4753,NA,NA,49.3,NA,48.6,40.7,NA,NA,49.8,NA,NA,NA,NA,NA,875.1147,NA,865.5394,757.4753,NA,NA,881.9542,NA,NA,NA,NA,NA,0.3321,NA,NA,NA,0.2319,NA,NA,0.8904,NA,NA,NA,0.7697,NA,NA,19.349,NA,NA,NA,20.651,NA,NA,38.589,NA,NA,NA,33.138,NA,NA,2.238,NA,NA,NA,4.322,0.57,87,0.3647,70,0.459123333,102,0.1223,87,NA,NA,0.364690119,0.291404494,NA,0.232795327,NA,NA,NA,0.110867974,0.129871871,NA,0.130659377,NA,NA,NA,0.56,0.57,NA,0.55,NA,NA,NA,0.9068,1.2638,NA,1.37737,NA,NA,NA,0.302266667,0.421266667,NA,0.459123333,NA,NA,NA,0.3295,0.3669,NA,0.319181046,NA,NA,NA,0.109833333,0.1223,NA,0.106393682,NA
745,3,Con,1,2017,CAESAR,4.09,2.045,46.5,9.571428571,11.97957143,6.361928571,1.894873189,253.1462738,12.29312628,6.146563119,40.41275,20.206375,NA,NA,45.75,NA,44.5,48.3,NA,NA,826.55425,NA,809.4555,861.4357,NA,NA,43.4,NA,44.5,48.3,NA,NA,48.1,NA,NA,NA,NA,NA,794.4086,NA,809.4555,861.4357,NA,NA,858.6999,NA,NA,NA,NA,NA,0.283,NA,NA,NA,0.3319,NA,NA,0.876,NA,NA,NA,0.8975,NA,NA,19.96,NA,NA,NA,19.351,NA,NA,35.714,NA,NA,NA,38.578,NA,NA,2.361,NA,NA,NA,2.084,0.65,87,0.3711,102,0.56729,102,0.210236284,102,NA,NA,0.23822801,0.327980034,NA,0.371256676,NA,NA,NA,0.108968828,0.108400281,NA,0.132593237,NA,NA,NA,0.4,0.65,NA,0.64,NA,NA,NA,0.7026,1.0718,NA,1.13458,NA,NA,NA,0.3513,0.5359,NA,0.56729,NA,NA,NA,0.167239411,0.351722149,NA,0.420472568,NA,NA,NA,0.083619705,0.175861074,NA,0.210236284,NA
1133,4,Con,2,2017,CAESAR,3.72,1.24,40.66666667,9.285714286,9.427571429,6.019214286,1.563021615,202.4109672,18.01812584,6.006041936,67.285075,22.42835833,NA,NA,46.85,NA,51,54.1,NA,NA,841.60115,NA,898.369,940.7739,NA,NA,48.5,NA,51,54.1,NA,NA,45.2,NA,NA,NA,NA,NA,864.1715,NA,898.369,940.7739,NA,NA,819.0308,NA,NA,NA,NA,NA,0.3085,NA,0.3549,NA,0.3654,NA,NA,0.8915,NA,0.8852,NA,0.9021,NA,NA,19.636,NA,19.08,NA,18.96,NA,NA,37.159,NA,40.076,NA,40.8,NA,NA,2.133,NA,2.439,NA,2.1,0.59,87,0.2977,70,0.599733333,87,0.1581,87,NA,NA,0.297813714,0.2627372,NA,0.210249141,NA,NA,NA,0.110728101,0.107751388,NA,0.080841424,NA,NA,NA,0.49,0.59,NA,0.42,NA,NA,NA,1.0296,1.7992,NA,1.56377,NA,NA,NA,0.3432,0.599733333,NA,0.521256667,NA,NA,NA,0.306468004,0.4743,NA,0.328154365,NA,NA,NA,0.102156001,0.1581,NA,0.109384788,NA
209,1,Org,1,2018,CAESAR,10.54,3.513333333,27,NA,NA,NA,NA,NA,26.27296065,8.75765355,93.13685001,31.04561667,51.65,57.35,NA,50.25,NA,NA,907.26035,985.23065,NA,888.10975,NA,NA,56.1,54.5,NA,47.5,NA,NA,47.2,60.2,NA,53,NA,NA,968.1319,946.2455,NA,850.4925,NA,NA,846.3888,1024.2158,NA,925.727,NA,NA,0.3446,0.3492,NA,0.343,NA,0.3396,NA,0.8605,0.8645,NA,0.8818,NA,0.8638,NA,19.202,19.149,NA,19.22,NA,19.26,NA,39.398,39.716,NA,39.286,NA,39.077,NA,2.953,2.9,NA,2.468,NA,2.861,NA,0.63,95,0.3216,62,0.4969,95,0.14757773,95,0.054225092,0.32159277,NA,NA,0.299927551,NA,0.279280414,0.033995697,0.129856115,NA,NA,0.142711992,NA,0.108915769,0.14,0.59,NA,NA,0.63,NA,0.53,0.3794,0.9405,NA,NA,1.4907,NA,1.4689,0.126466667,0.3135,NA,NA,0.4969,NA,0.489633333,0.019201521,0.299608389,NA,NA,0.44273319,NA,0.405846408,0.006400507,0.099869463,NA,NA,0.14757773,NA,0.135282136
304,2,Org,2,2018,CAESAR,6.42,2.14,24.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6,56.2,NA,51.05,NA,NA,933.9344,969.4998,NA,899.05295,NA,NA,53.8,56.8,NA,48.4,NA,NA,53.4,55.6,NA,53.7,NA,NA,936.6702,977.7072,NA,862.8036,NA,NA,931.1986,961.2924,NA,935.3023,NA,NA,0.3634,0.3769,NA,0.3582,NA,0.3498,NA,0.8277,0.8905,NA,0.8796,NA,0.8824,NA,18.983,18.831,NA,19.043,NA,19.142,NA,40.657,41.618,NA,40.299,NA,39.76,NA,3.832,2.41,NA,2.581,NA,2.483,NA,0.61,62,0.2835,62,0.289866667,62,0.081219851,62,0.056386521,0.283455612,NA,NA,0.147921675,NA,NA,0.036177224,0.131612658,NA,NA,0.075265589,NA,NA,0.13,0.61,NA,NA,0.43,NA,NA,0.2463,0.8696,NA,NA,0.7405,NA,NA,0.0821,0.289866667,NA,NA,0.246833333,NA,NA,0.01305297,0.243659553,NA,NA,0.107154411,NA,NA,0.00435099,0.081219851,NA,NA,0.035718137,NA,NA
715,3,Con,1,2018,CAESAR,5.56,1.853333333,35,NA,NA,NA,NA,NA,15.66507476,5.221691588,63.73114995,21.24371665,52.6,57.1,NA,53.85,NA,NA,920.2554,981.8109,NA,937.35415,NA,NA,52.1,60.1,NA,53.6,NA,NA,53.1,54.1,NA,54.1,NA,NA,913.4159,1022.8479,NA,933.9344,NA,NA,927.0949,940.7739,NA,940.7739,NA,NA,0.3321,0.3399,NA,0.3345,NA,0.3036,NA,0.8281,0.8283,NA,0.8347,NA,0.85,NA,19.348,19.256,NA,19.321,NA,19.698,NA,38.596,39.086,NA,38.746,NA,36.877,NA,3.629,3.672,NA,3.493,NA,2.988,NA,0.5,95,0.2864,95,0.453433333,95,0.128314894,95,0.020896739,0.213752036,NA,NA,0.286394178,NA,0.1804258,0.015546342,0.101141356,NA,NA,0.115084475,NA,0.096554924,0.05,0.46,NA,NA,0.5,NA,0.41,0.0368,0.4912,NA,NA,1.3603,NA,0.9535,0.012266667,0.163733333,NA,NA,0.453433333,NA,0.317833333,0.000622254,0.103599222,NA,NA,0.384944682,NA,0.168841176,0.000207418,0.034533074,NA,NA,0.128314894,NA,0.056280392
982,4,Con,2,2018,CAESAR,6.66,2.22,28.33333333,NA,NA,NA,NA,NA,16.13421743,5.378072478,63.87490003,21.29163334,52,57.85,NA,55.1,NA,NA,912.048,992.07015,NA,954.4529,NA,NA,48.8,57.1,NA,56.7,NA,NA,55.2,58.6,NA,53.5,NA,NA,868.2752,981.8109,NA,976.3393,NA,NA,955.8208,1002.3294,NA,932.5665,NA,NA,0.3605,0.3771,NA,0.3348,NA,NA,NA,0.8565,0.8934,NA,0.8454,NA,NA,NA,19.017,18.828,NA,19.317,NA,NA,NA,40.458,41.628,NA,38.77,NA,NA,NA,3.127,2.344,NA,3.248,NA,NA,NA,0.73,95,0.3033,95,0.383866667,95,0.115442203,95,0.038752483,0.251199575,NA,NA,0.303312782,NA,0.210367241,0.027116983,0.124825706,NA,NA,0.127146706,NA,0.087839754,0.09,0.49,NA,NA,0.73,NA,0.47,0.2517,0.5652,NA,NA,1.1516,NA,0.9231,0.0839,0.1884,NA,NA,0.383866667,NA,0.3077,0.00885624,0.140216853,NA,NA,0.346326609,NA,0.191281902,0.00295208,0.046738951,NA,NA,0.115442203,NA,0.063760634
34,1,Org,1,2016,CARA,4.32,NA,NA,8,8.302428571,6.059428571,1.368136562,159.4522343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,2,Org,2,2016,CARA,3.62,NA,NA,8,7.376571429,5.255857143,1.405289497,107.4675291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
776,3,Con,1,2016,CARA,5.76,NA,NA,6,8.307142857,6.196785714,1.337734224,169.2652405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,4,Con,2,2016,CARA,5.42,NA,NA,6.5,7.884,6.161642857,1.279913827,162.2463169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,Org,1,2017,CARA,6.24,2.08,36,9.285714286,9.973428571,7.093785714,1.405793524,269.4776988,19.36293836,6.454312793,48.774575,16.25819167,NA,NA,41.9,NA,51.1,47.7,NA,NA,773.8901,NA,899.7369,853.2283,NA,NA,41.5,NA,51.1,47.7,NA,NA,42.3,NA,NA,NA,NA,NA,768.4185,NA,899.7369,853.2283,NA,NA,779.3617,NA,NA,NA,NA,NA,0.0322,NA,0.3059,NA,NA,NA,NA,0.835,NA,0.8725,NA,NA,NA,NA,23.981,NA,19.668,NA,NA,NA,NA,25.576,NA,37.006,NA,NA,NA,NA,2.3,NA,2.52,NA,NA,0.7,70,0.4205,87,0.395896667,102,0.165506149,102,NA,NA,0.371567976,0.420475139,NA,0.41876946,NA,NA,NA,0.10937861,0.120267933,NA,0.12533512,NA,NA,NA,0.7,0.7,NA,0.66,NA,NA,NA,0.8754,1.0418,NA,1.18769,NA,NA,NA,0.2918,0.347266667,NA,0.395896667,NA,NA,NA,0.3257,0.438,NA,0.496518448,NA,NA,NA,0.108566667,0.146,NA,0.165506149,NA
