"ID","yield_kg","Max_Max_height_m","Max_Ave_height_m","Max_area_plant_m2","Max_volume_plant_m3"
"00C133-020",5.66750000001786,0.52499999999703,0.271550000008648,0.44220083337349,0.110239577123502
"01C_071-002",6.50333333335219,0.567499999997001,0.292175000008685,0.563270624873636,0.160624899373447
"02M_012-001",4.02416666668552,0.554999999997001,0.267725000008685,0.376424166623637,0.118855271748447
"03M_016-002",5.41083333335219,0.619999999997001,0.329912500008685,0.477862499873636,0.144593635873447
"03M_034-002",6.80250000001886,0.592499999997001,0.313787500008685,0.562392499873636,0.168197598748447
"04C_055-004",2.83500000001886,0.408749999997001,0.184900000008685,0.334131666623636,0.0594201781234466
"04C_126-005",6.03416666668552,0.706249999997001,0.375850000008685,0.539400833373637,0.186863661373447
"04M_034-013",4.54833333335219,0.539999999997001,0.314437500008685,0.407187083498636,0.119977803123447
"05M_002-001",5.11250000001886,0.521249999997001,0.266150000008685,0.435766666748637,0.117983719123447
"05M_004-003",6.13750000001886,0.623749999997001,0.328987500008685,0.515086041623636,0.165942768498447
"05M_012-004",5.31500000001886,0.606249999997001,0.316937500008685,0.492363750123636,0.147327716873447
"06C_127-002",4.18250000001886,0.636249999997001,0.371137500008685,0.493487499873636,0.176970680498447
"12288_AF_23",3.76583333335219,0.564999999997001,0.254100000008685,0.374118749998636,0.0937253059984466
"12601AB1",2.80916666668552,0.572499999997001,0.292437500008685,0.363549583248637,0.104110859873447
"12636_A_2",3.89333333335219,0.536249999997001,0.243750000008685,0.464829166623637,0.100010687873447
"15119_AC_5",4.32000000001886,0.416249999997001,0.196437500008685,0.354748333373636,0.0647135103734466
"1512C16",4.10166666668552,0.488749999997001,0.239937500008685,0.403905624873637,0.0792569522484466
"15144_A_3",5.14416666668552,0.579999999997001,0.309625000008685,0.531494166498637,0.159600229123447
"1563C14",4.29500000001886,0.556249999997001,0.266500000008685,0.445112499998637,0.106677178373447
"2182EF7",4.15333333335219,0.549999999997001,0.258312500008685,0.518111666748637,0.126461612123447
"3681AD1",5.04333333335219,0.551249999997001,0.288000000008685,0.495992916748636,0.128720653123447
"5008AB6",4.98083333335219,0.538749999997001,0.272825000008685,0.470243749873636,0.123574771998447
"8204_A_4",4.55916666668552,0.627499999997001,0.322637500008685,0.523701666498637,0.162117089123447
"AGRIA",5.60500000001886,0.671249999997001,0.361350000008685,0.496004166623636,0.161551738998447
"AILSA",5.32250000001886,0.491249999997001,0.245812500008685,0.480108749998637,0.101700013373447
"ALMERA",6.82083333335219,0.531249999997001,0.268712500008685,0.452801250123636,0.102631837248447
"ALPHA",3.98083333335219,0.589999999997001,0.306450000008685,0.576726249998637,0.153261151623447
"ALWARA",4.70583333335219,0.524999999997001,0.268737500008685,0.464660416498637,0.102014228623447
"AMADRA",4.70916666668552,0.543749999997001,0.296550000008685,0.395668333248637,0.0967788062484466
"AMOUR",5.71916666668552,0.498749999997001,0.282012500008685,0.434649999748636,0.111545617873447
"ANNA",5.95000000001886,0.556249999997001,0.294062500008685,0.538496874873637,0.146971398498447
"ANNABELLE",4.37833333335219,0.512499999997001,0.246737500008685,0.318894999998637,0.0630798662484466
"ANYA",2.69166666668552,0.498749999997001,0.223737500008685,0.360548124998637,0.0789386327484466
"ARGOS",6.70000000001886,0.677499999997001,0.374875000008685,0.520211250123636,0.184859094373447
"ARIELLE",4.58583333335219,0.532499999997001,0.245475000008685,0.376552916748637,0.0782905592484466
"ARKULA",4.62250000001886,0.531249999997001,0.278037500008685,0.453710416623636,0.114059516623447
"ARMADA",5.65500000001886,0.549999999997001,0.299175000008685,0.498231874873636,0.119187883123447
"AVALANCHE",5.11916666668552,0.572499999997001,0.270037500008685,0.403115416623636,0.100282048498447
"BAILLIE",4.49666666668552,0.463749999997001,0.264412500008685,0.428959583373636,0.0986227469984466
"BALMORAL",4.36500000001886,0.529999999997001,0.217775000008685,0.359047083373637,0.0753331602484466
