"ID","yield_kg","Max_Max_height_m","Max_Ave_height_m","Max_area_plant_m2","Max_volume_plant_m3","DAPC_cluster_1","DAPC_cluster_2","DAPC_cluster_3","DAPC_cluster_4","STRUCTURE_K1","STRUCTURE_K2","STRUCTURE_K3","PC1","PC2","PC3","PC4","PC5"
"00C133-020",5.66750000001786,0.52499999999703,0.271550000008648,0.44220083337349,0.110239577123502,6.75810327317092e-06,0.9224836142898,2.55040493455704e-07,0.0775093725664335,0.7428,0.1829,0.0743,6.76442760494311,1.37794580466716,0.445903052013854,-1.01904394366324,-0.557379854297777
"01C_071-002",6.50333333335219,0.567499999997001,0.292175000008685,0.563270624873636,0.160624899373447,0.498372818242978,0.00458120324724432,0.0016416632794705,0.495404315230307,0.3217,0.4388,0.2395,0.241684931169411,0.324794033968003,0.327850538094872,-1.88949162980934,-0.0857596582743241
"02M_012-001",4.02416666668552,0.554999999997001,0.267725000008685,0.376424166623637,0.118855271748447,7.6963984623922e-07,0.999960397797354,1.68535252347116e-06,3.71472102766411e-05,0.6201,0.0939,0.286,4.69423791766236,-1.6589192594569,2.84628524047973,1.15079126236473,-0.320133934956786
"03M_016-002",5.41083333335219,0.619999999997001,0.329912500008685,0.477862499873636,0.144593635873447,9.83071333368991e-06,0.674493351606996,0.320866383877343,0.00463043380232701,0.3953,0.0641,0.5406,1.64775941105958,-4.44023806680024,-0.654941550159142,1.64634009116699,0.839229345541894
"03M_034-002",6.80250000001886,0.592499999997001,0.313787500008685,0.562392499873636,0.168197598748447,1.67794939650902e-05,0.99002594869886,4.66271836334543e-05,0.00991064462354111,0.6352,0.0834,0.2814,4.03076488342075,-0.951978073762437,0.59588022384833,-1.8113087617513,-1.64968469277362
"04C_055-004",2.83500000001886,0.408749999997001,0.184900000008685,0.334131666623636,0.0594201781234466,0.000911287261620558,0.995904896728929,1.54281126891793e-05,0.00316838789676127,0.515,0.2928,0.1922,2.52463446956207,-0.496027974928631,3.31056598196599,1.20585480848088,0.0541869934997764
"04C_126-005",6.03416666668552,0.706249999997001,0.375850000008685,0.539400833373637,0.186863661373447,0.00205683560829182,0.0332275254530529,2.90925246506116e-05,0.964686546414005,0.5288,0.3235,0.1477,2.81965149802675,1.05855026510014,0.13916486538059,-2.47720969070736,-1.75316947707861
"04M_034-013",4.54833333335219,0.539999999997001,0.314437500008685,0.407187083498636,0.119977803123447,4.25917974953455e-05,0.997447320666845,0.000743850979113559,0.00176623655654586,0.4848,0.1312,0.384,2.43636946162431,-2.36460499063868,1.20331169455589,1.87777370839511,1.48998314284617
"05M_002-001",5.11250000001886,0.521249999997001,0.266150000008685,0.435766666748637,0.117983719123447,0.973251145625715,7.95069481158877e-05,0.000191066572369159,0.0264782808537996,0.2164,0.5403,0.2433,-1.39017043138099,0.203862535915236,0.855601252546629,1.00025323555491,1.21294210316767
"05M_004-003",6.13750000001886,0.623749999997001,0.328987500008685,0.515086041623636,0.165942768498447,0.856889305531622,0.000322782463914128,4.08878362218073e-07,0.142787503126102,0.3663,0.5697,0.0641,0.619555416089251,2.5973770653139,1.53276922824543,-0.337002924978359,2.18875393689515
"05M_012-004",5.31500000001886,0.606249999997001,0.316937500008685,0.492363750123636,0.147327716873447,0.0280361712559469,0.000593219296279547,1.71340234980006e-05,0.971353475424276,0.4039,0.4564,0.1397,1.73736323958517,1.18241228086812,-0.931331578749732,-0.325913620389347,1.60456164459245
"06C_127-002",4.18250000001886,0.636249999997001,0.371137500008685,0.493487499873636,0.176970680498447,0.00407081979581319,0.0206871588588462,0.000199578411904536,0.975042442933436,0.5102,0.3666,0.1232,2.98797479612005,1.72048183763316,0.675127808067269,3.8495443978163,-3.1766941226063
"12288_AF_23",3.76583333335219,0.564999999997001,0.254100000008685,0.374118749998636,0.0937253059984466,0.000844222928985781,0.544043563308689,6.45286649421424e-06,0.455105760895831,0.6234,0.3041,0.0726,4.08123559753096,0.753682645593901,1.50853407678256,0.349314132579664,0.385005635160336
"12601AB1",2.80916666668552,0.572499999997001,0.292437500008685,0.363549583248637,0.104110859873447,3.7027516174491e-06,0.918290724734287,0.0800694671106079,0.00163610540348738,0.4547,0.0117,0.5336,3.68681824402298,-3.85218726378111,1.11106005474789,0.790163492665543,-2.78801895897103
"12636_A_2",3.89333333335219,0.536249999997001,0.243750000008685,0.464829166623637,0.100010687873447,1.83267098343533e-06,0.971925463895285,0.00027804263326092,0.02779466080047,0.6479,0.0533,0.2987,4.45976358862149,-1.91454404311162,-0.602833503501353,1.88617241648901,-0.484246436768397
"15119_AC_5",4.32000000001886,0.416249999997001,0.196437500008685,0.354748333373636,0.0647135103734466,6.22965762674859e-05,0.0391173948752513,0.000381605341233743,0.960438703207247,0.5763,0.15,0.2738,4.29400094826931,-0.493820784712737,-1.9336568309791,-5.83845214958775,-0.927150914275443
"1512C16",4.10166666668552,0.488749999997001,0.239937500008685,0.403905624873637,0.0792569522484466,0.0118046161004913,2.05562978257518e-06,0.0231937818927883,0.964999546376938,0.2148,0.4419,0.3433,-1.13838259233722,-1.29657703482006,-3.60136237756405,0.736681894677895,-0.722417169522947
"15144_A_3",5.14416666668552,0.579999999997001,0.309625000008685,0.531494166498637,0.159600229123447,0.00179878739633393,1.8873776123271e-08,1.3438811341893e-06,0.998199849848756,0.3922,0.5714,0.0364,1.4850646396418,4.2709470620458,-2.10368676382961,-3.854030748164,-4.9278170480804
